Line number in file, origami,status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time,fit quality
126,101001010110000111000011010110001101011100000000,1,2,[(5  4)  (2  5)],3,6,000100001110101100011010111000111000011010100101,0001000001101001,0.027,1.065582978779677
72,000100101111001000111010000100001001100000010010,1,6,[(1  7)  (5  0)  (0  4)  (1  4)  (2  5)  (4  1)],0,4,000110101111101100111110000100001101100010010010,0001101000010010,0.271,1.12755557977411
0,000110000010001110000010001010001001000101110010,0,6,[(3  6)  (0  6)  (2  4)  (0  1)  (1  4)  (1  1)],3,8,010011101000100101010100010100011101011001011010,0100111001010110,2.347,1.4975735013624665
135,001000011000000110011100000100111100000000001000,0,8,[(0  6)  (1  1)  (0  5)  (2  6)  (2  2)  (2  7)  (4  3)  (1  2)],0,1,001001111110000110111111000100111101000000001000,0010011111000100,3.245,0.9810580478140424
19,010001101100010100000010000011100111110001001000,0,8,[(0  4)  (4  0)  (0  2)  (5  0)  (2  2)  (1  4)  (2  5)  (4  6)],0,12,011011101100110100100110000011101111111011001000,0110111000000100,156.253,0.7706470858603137
82,001001101010000110100100000011001100000000000001,1,8,[(1  4)  (2  3)  (3  7)  (4  4)  (3  3)  (4  2)  (4  3)  (4  5)],0,1,001001101010100110110100000111011111110000000001,0010011001100000,0.225,1.1769847835630711
83,011011101101010100000110110001100011110001101000,1,4,[(3  4)  (4  0)  (3  3)  (4  1)],0,10,011011101101010100000110110111101111110001101000,0110111000000101,0.053,1.4245960316481467
38,000100001010101100001000111000001000001010000101,1,7,[(3  6)  (2  3)  (4  5)  (5  2)  (3  7)  (2  6)  (1  1)],0,6,000100001110101100011010111000111000011010100101,0001000001101001,0.616,1.058842035434455
3,010011101100111101000000000000001100010011000000,0,8,[(2  7)  (3  0)  (0  0)  (0  3)  (3  4)  (4  4)  (3  5)  (4  2)],0,14,110111101100111101000001100011001110110011000000,1101111010000000,1.027,1.4293822378145584
19,010001101100010100000010000011100111110001001000,0,8,[(0  4)  (4  0)  (0  2)  (5  0)  (2  2)  (1  4)  (2  5)  (4  6)],0,12,011011101100110100100110000011101111111011001000,0110111000000100,54.995,0.7706470858603137
129,010010010111000110000010000100111111100101001010,1,7,[(3  2)  (0  0)  (0  6)  (0  3)  (2  4)  (2  1)  (1  6)],3,13,010100101001111111001100010100111100111011011011,0101001001110110,23.771,0.9356997982068542
92,100001000110000111000010010110001101011100001000,1,4,[(0  7)  (0  2)  (2  7)  (2  5)],3,6,000100001110101100011010111000111000011010100101,0001000001101001,1.968,1.1238063294320129
47,000100111101010010111000001000011100001010110100,1,5,[(0  4)  (3  4)  (1  7)  (0  5)  (0  1)],0,5,010111111101010110111000001010011100001010110100,0101111101001011,0.149,1.1300766373850601
40,001000100010001101001010001000100110001100000100,0,6,[(0  0)  (5  6)  (0  5)  (4  0)  (4  3)  (3  1)],3,8,011000001100111101000110010100101100010001100101,0110000000101001,40.637,1.2398420888968826
22,000000010100011010011010100000001010111000010000,1,6,[(5  5)  (0  3)  (1  7)  (5  1)  (1  0)  (1  2)],0,11,000100011110011110011010100000001010111001010100,0001000100001010,0.181,0.9259776328059008
23,000101000101010100111000001010011000000010110100,0,7,[(2  0)  (0  0)  (1  4)  (5  6)  (4  7)  (3  1)  (3  5)],3,1,011011011000000110110110000111011011101000101001,0110110101100101,4.944,0.8853542001496463
132,010010100101000111001010001000001101100100001010,0,6,[(3  7)  (0  0)  (4  6)  (2  5)  (3  5)  (4  5)],3,9,010100001111101110100100011100111000101001010011,0101000001110010,2.776,1.262506265089979
133,101001000010000111000110010110001101011100001000,1,3,[(2  7)  (0  7)  (1  1)],3,6,000100001110101100011010111000111000011010100101,0001000001101001,0.061,1.4578174167079825
134,010110000100001100000001010110011010000110000000,1,5,[(1  5)  (2  4)  (2  0)  (5  5)  (3  2)],3,3,001000011000010110011110100100011110001000011010,0010000101010110,0.202,1.42302786266271
13,000100001110101100011010111000101000011000100101,1,2,[(3  7)  (5  0)],0,6,000100001110101100011010111000111000011010100101,0001000001101001,0.032,1.3740605316377763
121,001000001000100101000100010100111010000000100101,1,7,[(5  1)  (4  1)  (1  3)  (4  5)  (1  2)  (1  5)  (1  6)],0,8,001000001011111101000100010100111110010001100101,0010000001101001,4.013,1.1498055411804775
122,000010001101000001101100100000111001000011101100,1,7,[(1  7)  (5  7)  (0  6)  (3  4)  (5  6)  (4  5)  (1  5)],0,14,000010101101010101101100100010111001010011101111,0000101001111101,0.222,1.139580648673148
67,100000000011101010110000001011000001000101100000,1,7,[(1  5)  (2  4)  (4  0)  (1  7)  (3  7)  (5  5)  (4  5)],3,1,001001101010100110110100000111011111110000000001,0010011001100000,0.662,1.0838843105068214
68,000000101101000101101100100010110001010011101111,1,3,[(4  0)  (0  4)  (1  5)],0,14,000010101101010101101100100010111001010011101111,0000101001111101,0.047,0.8302456531711696
153,011000101101000100000010110111100101110001101000,1,6,[(0  5)  (2  5)  (0  4)  (4  0)  (1  5)  (4  2)],0,10,011011101101010100000110110111101111110001101000,0110111000000101,0.118,1.0926993756070535
44,001000001111100100000001110100111010010001100001,0,7,[(5  5)  (4  1)  (0  6)  (5  4)  (2  4)  (0  7)  (3  5)],0,10,001000111111100100001001110101111110010001101101,0010001111101101,26.947,1.0686161108195558
34,010010101000100101000100000000010100000011001000,1,6,[(4  5)  (4  0)  (5  3)  (0  5)  (1  1)  (1  5)],0,12,010011101100110101000100000000011100010011011000,0100111001000110,0.222,0.8199093397649072
125,010100101000110111001100010100100100111011001001,1,6,[(4  0)  (1  3)  (3  7)  (5  6)  (5  3)  (1  6)],0,13,010100101001111111001100010100111100111011011011,0101001001110110,6.482,1.3265724536777597
180,001000101101010100000100100110101111110001100000,1,7,[(0  1)  (0  4)  (3  5)  (0  5)  (5  4)  (3  1)  (2  6)],0,10,011011101101010100000110110111101111110001101000,0110111000000101,0.222,1.1580420559299254
88,000000001101101010101100000100111101000000100100,1,6,[(5  3)  (5  7)  (0  2)  (5  4)  (1  7)  (5  1)],0,9,001000001101101110101100000100111101000001111101,0010000001101111,35.584,0.7612734670286313
163,010111110101000110111000001010011100001010110100,1,2,[(1  0)  (1  5)],0,5,010111111101010110111000001010011100001010110100,0101111101001011,0.027,0.8160976530510496
243,001000000111000100000000100100001100011010001100,0,8,[(4  7)  (2  7)  (5  3)  (2  6)  (5  6)  (3  1)  (2  2)  (1  5)],3,2,011110011110001100001011110001001010111000000100,0111100110001000,3.311,1.0096631133886584
244,110110110111001110000010000100111110100101001010,1,4,[(2  1)  (2  4)  (4  3)  (3  2)],3,13,010100101001111111001100010100111100111011011011,0101001001110110,0.222,0.8226197645358875
158,100000000010011010111000001011011001010101100000,1,4,[(1  7)  (5  5)  (1  3)  (1  4)],3,1,001001101010100110110100000111011111110000000001,0010011001100000,0.066,1.1217720334913115
191,111010000010001000111001001110000001101101011010,1,6,[(1  5)  (4  0)  (5  0)  (5  2)  (1  7)  (2  5)],3,2,010111111101100100011100101111001110010000010111,0101111100111010,3.618,1.2233530054237267
142,010000001110010010100000001011001000000010100100,0,8,[(4  3)  (4  6)  (0  3)  (0  0)  (5  4)  (4  7)  (3  6)  (2  1)],1,14,101011001001001100101110111000001110010011010000,1010110000000010,38.624,1.329764166463614
160,101001010110000111000111010110001100011000001000,1,2,[(4  7)  (4  3)],3,6,000100001110101100011010111000111000011010100101,0001000001101001,0.026,0.9075700746714438
227,010101001000000100100000110110001100100010000100,1,4,[(2  0)  (2  1)  (1  2)  (4  3)],0,7,010101001010000111100000110110001101100010000100,0101010000001000,0.063,0.6893511156281517
175,010001000011001011100100010111000110111101101100,1,6,[(2  4)  (4  0)  (1  7)  (0  3)  (1  4)  (1  1)],3,0,001101101111011100111010001101111101111000101010,0011011001010101,4.237,1.0126861879167457
229,001001101010100000110100000111011111110000000000,1,3,[(5  7)  (1  7)  (2  0)],0,1,001001101010100110110100000111011111110000000001,0010011001100000,3.799,1.0536807457333033
201,000000001010010100100101110000000110100101100100,0,8,[(5  4)  (2  6)  (5  0)  (5  6)  (0  1)  (3  7)  (3  4)  (4  6)],2,11,000000101010010111100100100100111101011001110111,0000001001111011,20.181,1.1091447247059043
249,001000000101001010101100000100011101000001101101,1,5,[(1  7)  (5  3)  (1  0)  (3  6)  (1  4)],0,9,001000001101101110101100000100111101000001111101,0010000001101111,1.863,1.3647454121253977
280,110101100000100111010001001101000010100001010000,1,7,[(4  0)  (0  2)  (4  7)  (0  7)  (4  6)  (3  6)  (1  2)],3,14,000010101101010101101100100010111001010011101111,0000101001111101,1.793,1.2162262148196592
239,001000001010111000000000000100011110000000100101,1,8,[(2  5)  (3  6)  (1  3)  (4  5)  (2  1)  (5  1)  (1  7)  (3  1)],0,8,001000001011111101000100010100111110010001100101,0010000001101001,2.074,1.3127045383861695
212,110010110100001111000010001000111100100101001010,1,7,[(2  4)  (3  3)  (0  3)  (1  2)  (4  2)  (1  3)  (4  3)],3,13,010100101001111111001100010100111100111011011011,0101001001110110,0.564,1.0134762753749589
213,010101000110101111101100000110001110111101101100,1,3,[(3  1)  (1  3)  (3  5)],3,0,001101101111011100111010001101111101111000101010,0011011001010101,0.771,0.9282364116352714
271,000100100010001010000000000000100011000101010010,1,7,[(1  7)  (3  2)  (0  7)  (0  4)  (4  0)  (5  2)  (4  6)],3,12,010011101100110101000100000000011100010011011000,0100111001000110,116.044,0.9348756300456328
197,001111000010000000000100010101000010000001100000,0,8,[(2  2)  (0  0)  (4  7)  (5  3)  (4  1)  (1  7)  (4  0)  (3  2)],3,0,000011101000011100101110001001001000010000111101,0000111000101111,3.96,1.0703654771283573
297,101011000000101111000000001101011101101000000100,1,4,[(0  6)  (4  7)  (0  3)  (2  4)],3,9,001000001101101110101100000100111101000001111101,0010000001101111,14.428,1.2747055859624234
298,101000010010000111000101010110001001010100001000,1,5,[(1  1)  (0  5)  (4  1)  (2  6)  (4  6)],3,6,000100001110101100011010111000111000011010100101,0001000001101001,0.055,0.9257975104745608
333,010110000100010100000000011110011010000110000100,1,4,[(2  7)  (2  0)  (2  4)  (1  6)],3,3,001000011000010110011110100100011110001000011010,0010000101010110,3.565,1.1435124771859286
334,000000001010111101000100010100111100000001000100,1,6,[(4  2)  (4  5)  (5  7)  (5  2)  (0  2)  (1  3)],0,8,001000001011111101000100010100111110010001100101,0010000001101001,2.001,1.327179133704727
299,011010000010010000110001000110000001101110111010,1,8,[(4  0)  (3  2)  (5  1)  (0  0)  (1  7)  (2  4)  (2  5)  (1  6)],3,2,010111111101100100011100101111001110010000010111,0101111100111010,6.019,1.0389302583786322
306,000001000010100010011100111100100111011000100000,0,8,[(4  7)  (1  3)  (4  0)  (0  7)  (1  0)  (0  1)  (3  5)  (1  1)],1,11,001000001111011111110110100111001111100001000101,0010000000101000,23.052,1.176449052844835
283,000111100101110110100000001010001100001010110100,0,8,[(3  6)  (2  3)  (1  0)  (3  7)  (2  6)  (0  1)  (3  5)  (1  2)],0,5,010111101111110110110010001011111100001010110100,0101111001001011,8.187,1.2742278894749308
291,010011100101010100000110100011101101010001100000,1,7,[(0  2)  (4  2)  (1  0)  (5  4)  (3  3)  (3  1)  (4  4)],0,10,011011101101010100000110110111101111110001101000,0110111000000101,13.01,0.8786396642995277
257,001001101000000100100100000111011101010000000001,1,6,[(2  0)  (1  2)  (2  3)  (4  2)  (1  4)  (4  4)],0,1,001001101010100110110100000111011111110000000001,0010011001100000,2.254,1.0877072440263709
360,001001010100000101000111010110000000011000001000,1,7,[(4  0)  (4  7)  (0  0)  (2  0)  (1  2)  (4  3)  (4  1)],3,6,000100001110101100011010111000111000011010100101,0001000001101001,2.849,0.9747994500718772
353,000000001110100100001000101000111000011010100101,1,5,[(1  6)  (2  3)  (0  3)  (2  6)  (3  1)],0,6,000100001110101100011010111000111000011010100101,0001000001101001,0.11,1.1939206652187604
293,001001000100001110010100000111011010101111111010,1,2,[(0  7)  (0  4)],3,5,010111111101010110111000001010011100001010110100,0101111101001011,0.09,1.346960846516411
294,000100101001101111000000010000001000101011001011,-1,7,[(3  6)  (0  5)  (3  0)  (0  0)  (4  5)  (1  5)  (1  1)],0,15,100101101101111111000000110000101000111011001011,1001011000110100,1.938,0.9679870886205704
369,010011101101000110111000001010011100001000110100,1,4,[(5  0)  (0  7)  (0  3)  (1  5)],0,5,010111111101010110111000001010011100001010110100,0101111101001011,7.226,0.9792416691263186
370,010101000100101111100100010101001110110101001100,1,6,[(5  2)  (2  4)  (3  4)  (1  3)  (1  2)  (4  6)],3,0,001101101111011100111010001101111101111000101010,0011011001010101,0.618,1.4281011122327123
301,000100001110101100011010111000111000011000100001,1,2,[(5  5)  (5  0)],0,6,000100001110101100011010111000111000011010100101,0001000001101001,5.234,1.2744762810819703
337,000011101101110101101000100010111000000011100111,0,2,[(2  6)  (4  4)],0,14,000011101101110101101010100010111000100011100111,0000111001111001,1.386,1.394206627251598
338,011011101101010000000110110001101111100001101000,1,4,[(1  7)  (3  4)  (3  3)  (4  5)],0,10,011011101101010100000110110111101111110001101000,0110111000000101,0.065,1.1156674072141306
206,001100001001110101001000000100101100111011001011,0,7,[(2  5)  (2  3)  (0  6)  (2  6)  (1  6)  (4  3)  (1  2)],0,12,001100101011111101011110000100101101111011001011,0011001000110100,2.494,1.030701377490902
266,001011010100001110010100000011001010101110011000,1,5,[(5  2)  (3  7)  (5  1)  (3  3)  (5  6)],3,5,010111111101010110111000001010011100001010110100,0101111101001011,9.67,1.129350267109833
267,000010100110010000000001000110011100011110001000,1,5,[(1  7)  (0  2)  (3  1)  (1  3)  (4  2)],3,11,000100011110011110011010100000001010111001010100,0001000100001010,4.242,1.4248491587279868
223,000011101100010101000000000000001100000000011000,1,7,[(0  1)  (5  0)  (3  7)  (5  1)  (4  5)  (1  4)  (2  5)],0,12,010011101100110101000100000000011100010011011000,0100111001000110,45.02,1.021369777803225
260,000001100001111100111011010000000010100101110010,1,7,[(3  2)  (4  0)  (5  5)  (2  1)  (0  3)  (4  6)  (1  2)],3,10,011011101101010100000110110111101111110001101000,0110111000000101,4.192,1.025819328883513
372,011011000101000100000110110101101111110000000000,1,7,[(1  0)  (5  1)  (5  4)  (5  2)  (3  4)  (0  6)  (1  5)],0,10,011011101101010100000110110111101111110001101000,0110111000000101,8.627,0.9978256247527
355,110000110111001110001010001100001011100101000000,1,8,[(5  6)  (0  3)  (5  4)  (3  7)  (2  1)  (0  4)  (3  6)  (4  1)],3,13,010100101001111111001100010100111100111011011011,0101001001110110,0.666,1.3061842338186926
275,001001100010000111001000000000100111110100000100,1,6,[(4  0)  (1  5)  (0  0)  (2  6)  (1  6)  (3  2)],3,8,001000001011111101000100010100111110010001100101,0010000001101001,5.152,1.3951672618483077
303,000000011000000110001101000100011111000000001000,0,8,[(4  6)  (5  1)  (5  2)  (5  5)  (0  1)  (2  6)  (3  6)  (2  1)],0,9,010000011000000111001111000100111111001001101100,0100000111001101,24.984,1.329827703844473
309,101001010110000111000111010110001001011000001000,1,2,[(4  7)  (4  1)],3,6,000100001110101100011010111000111000011010100101,0001000001101001,0.023,0.8706191650019826
345,000100001110101100001010011000101000010010100101,1,4,[(3  7)  (4  6)  (3  0)  (2  3)],0,6,000100001110101100011010111000111000011010100101,0001000001101001,0.6,1.0662333333841258
