Line number in file, origami,status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time,fit quality
000110000010001110000010001010001001000101110010,0,6,[(0  7)  (0  6)  (4  2)  (3  7)  (1  3)  (3  5)],3,13,010011101000110110110100010000011100110011011000,0100111001000110,0.025,0,1.4975735013624665
000100001110101100011010111000101000011000100101,1,2,[(3  7)  (5  0)],0,6,000100001110101100011010111000111000011010100101,0001000001101001,0.008,13,1.3740605316377763
010001101100010100000010000011100111110001001000,0,8,[(5  0)  (4  0)  (0  4)  (0  2)  (2  2)  (1  4)  (2  5)  (4  6)],0,12,011011101100110100100110000011101111111011001000,0110111000000100,30.288,19,0.7706470858603137
000000010100011010011010100000001010111000010000,1,6,[(5  5)  (1  0)  (5  1)  (1  7)  (0  3)  (1  2)],0,11,000100011110011110011010100000001010111001010100,0001000100001010,7.632,22,0.9259776328059008
000101000101010100111000001010011000000010110100,0,7,[(3  1)  (0  0)  (2  0)  (5  6)  (4  7)  (1  4)  (3  5)],3,1,011011011000000110110110000111011011101000101001,0110110101100101,3.261,23,0.8853542001496463
000111000110010100100100010111001011000100010000,0,8,[(5  4)  (0  0)  (5  6)  (5  7)  (3  6)  (4  4)  (0  6)  (3  2)],3,8,110110001001110101111110001001001010011001111001,1101100000100111,31.926,30,1.2851390054737857
010010101000100101000100000000010100000011001000,1,6,[(4  0)  (5  3)  (0  5)  (1  5)  (4  5)  (1  1)],0,12,010011101100110101000100000000011100010011011000,0100111001000110,1.479,34,0.8199093397649072
000100001010101100001000111000001000001010000101,0,8,[(3  4)  (0  6)  (3  5)  (4  3)  (4  5)  (5  3)  (4  4)  (4  2)],0,6,000100101010101100001000111011001011111010010101,0001001000101010,2.345,38,1.058842035434455
001000100010001101001010001000100110001100000100,0,6,[(5  6)  (0  5)  (4  0)  (0  0)  (3  1)  (4  3)],3,8,011000001100111101000110010100101100010001100101,0110000000101001,1.828,40,1.2398420888968826
101100001111100001011000110010001000010000001110,0,8,[(3  7)  (2  0)  (5  1)  (3  2)  (4  6)  (1  7)  (2  6)  (1  5)],0,11,101100001111110111011010111010011000011001001110,1011000001011100,0.145,43,0.9702060701023092
001000001111100100000001110100111010010001100001,0,7,[(5  4)  (2  4)  (0  6)  (0  7)  (5  5)  (3  5)  (4  1)],0,10,001000111111100100001001110101111110010001101101,0010001111101101,1.469,44,1.0686161108195558
000100111101010010111000001000011100001010110100,1,5,[(0  1)  (0  5)  (1  7)  (0  4)  (3  4)],0,5,010111111101010110111000001010011100001010110100,0101111101001011,2.066,47,1.1300766373850601
100000000011101010110000001011000001000101100000,1,7,[(1  5)  (5  5)  (2  4)  (1  7)  (4  5)  (3  7)  (4  0)],3,1,001001101010100110110100000111011111110000000001,0010011001100000,14.817,67,1.0838843105068214
000000101101000101101100100010110001010011101111,1,3,[(4  0)  (0  4)  (1  5)],0,14,000010101101010101101100100010111001010011101111,0000101001111101,0.011,68,0.8302456531711696
010011101001000000000000000000001100010011100000,0,8,[(4  7)  (5  7)  (0  7)  (0  0)  (2  3)  (3  5)  (2  5)  (1  5)],1,12,111000011100010100000100000101001001010011001111,1110000100111100,25.834,71,0.9755736912241902
000100101111001000111010000100001001100000010010,1,6,[(0  4)  (5  0)  (1  7)  (1  4)  (2  5)  (4  1)],0,4,000110101111101100111110000100001101100010010010,0001101000010010,1.809,72,1.12755557977411
010001100011000111100000110010001001110000000100,0,8,[(5  0)  (5  2)  (0  7)  (3  5)  (1  5)  (1  0)  (2  7)  (2  5)],0,7,010001111011010111100101110011001001110010100100,0100011110001001,6.846,77,1.0817856009416065
001000001010001101000000010100101010010001100000,0,6,[(1  5)  (4  6)  (2  6)  (3  7)  (1  3)  (3  5)],0,8,001000001011011101000010010101111010011001100000,0010000001000001,0.02,78,1.2437392865267425
001001101010000110100100000011001100000000000001,1,8,[(3  7)  (2  3)  (4  3)  (3  3)  (4  5)  (4  2)  (4  4)  (1  4)],0,1,001001101010100110110100000111011111110000000001,0010011001100000,1.774,82,1.1769847835630711
011011101101010100000110110001100011110001101000,1,4,[(3  4)  (4  0)  (3  3)  (4  1)],0,10,011011101101010100000110110111101111110001101000,0110111000000101,0.029,83,1.4245960316481467
000000001101101010101100000100111101000000100100,1,6,[(5  3)  (5  7)  (0  2)  (5  4)  (1  7)  (5  1)],0,9,001000001101101110101100000100111101000001111101,0010000001101111,12.66,88,0.7612734670286313
100001000110000111000010010110001101011100001000,1,4,[(0  2)  (0  7)  (2  7)  (2  5)],3,6,000100001110101100011010111000111000011010100101,0001000001101001,3.249,92,1.1238063294320129
